Respondent,Gender,Age,Country,EdLevel,DevType,YearsCode,YearsCodePro,Employment,ConvertedComp,JobSat,JobSeek,NEWLearn,OrgSize,WorkWeekHrs,JobFactors,exp_tier,JobSat_score
613,Man,30.0,Canada,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)","Data or business analyst;Developer, back-end;Developer, desktop or enterprise applications;Developer, front-end;Developer, full-stack;System administrator",12,8.0,"Independent contractor, freelancer, or self-employed",127056.0,Slightly satisfied,"I’m not actively looking, but I am open to new opportunities",Once every few years,"Just me - I am a freelancer, sole proprietor, etc.",45.0,Remote work options;How widely used or impactful my work output would be;Opportunities for professional development,5-10y,3.0
615,Man,35.0,Ecuador,"Professional degree (JD, MD, etc.)","Developer, back-end;Developer, desktop or enterprise applications;Developer, mobile;DevOps specialist;Engineering manager;Senior executive/VP;System administrator",15,10.0,Employed full-time,48000.0,Very satisfied,"I’m not actively looking, but I am open to new opportunities",Once a year,2 to 9 employees,60.0,Flex time or a flexible schedule;Remote work options;Opportunities for professional development,5-10y,4.0
616,Man,36.0,United States,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",DevOps specialist;System administrator,13,9.0,Employed full-time,94000.0,Slightly satisfied,"I’m not actively looking, but I am open to new opportunities",Once every few years,"10,000 or more employees",35.0,Flex time or a flexible schedule;Remote work options;Family friendliness,5-10y,3.0
617,Man,37.0,United States,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)","DevOps specialist;Engineer, site reliability",8,7.0,Employed full-time,250000.0,Very satisfied,"I’m not actively looking, but I am open to new opportunities",Once a year,"10,000 or more employees",45.0,Remote work options;Financial performance or funding status of the company or organization;Opportunities for professional development,5-10y,4.0
618,Man,27.0,Canada,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)","Developer, back-end",12,5.0,Employed full-time,85085.0,Slightly dissatisfied,"I’m not actively looking, but I am open to new opportunities",Once every few years,"1,000 to 4,999 employees",35.0,"Languages, frameworks, and other technologies I’d be working with;Office environment or company culture;Family friendliness",2-5y,1.0
619,Woman,37.0,United Kingdom,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)","Developer, full-stack",23,12.0,Employed full-time,67215.0,Slightly dissatisfied,"I’m not actively looking, but I am open to new opportunities",Once a year,20 to 99 employees,37.0,"Flex time or a flexible schedule;Languages, frameworks, and other technologies I’d be working with;Remote work options",10-20y,1.0
620,Man,21.0,United States,Some college/university study without earning a degree,Not stated,11,,Student,,Not stated,I am actively looking for a job,Once a year,Not stated,,Industry that I’d be working in;Flex time or a flexible schedule;How widely used or impactful my work output would be,,
621,Man,32.0,Italy,Some college/university study without earning a degree,"Developer, back-end;Developer, desktop or enterprise applications;Developer, front-end;Developer, full-stack",13,10.0,Employed full-time,38916.0,Slightly satisfied,"I’m not actively looking, but I am open to new opportunities",Once every few years,20 to 99 employees,40.0,Industry that I’d be working in;Remote work options;Opportunities for professional development,5-10y,3.0
622,Man,27.0,Hungary,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)","Developer, full-stack;Developer, game or graphics",11,6.0,Employed full-time,38484.0,Slightly satisfied,"I’m not actively looking, but I am open to new opportunities",Once a year,20 to 99 employees,40.0,"Industry that I’d be working in;Languages, frameworks, and other technologies I’d be working with;Specific department or team I’d be working on",5-10y,3.0
623,Man,18.0,Nepal,"Secondary school (e.g. American high school, German Realschule or Gymnasium, etc.)",Not stated,3,,Student,,Not stated,Not stated,Once a year,Not stated,,Not stated,,
624,Man,26.0,India,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)","Developer, back-end;Developer, front-end;Developer, full-stack;Developer, mobile",7,3.0,Employed full-time,5028.0,Slightly satisfied,"I’m not actively looking, but I am open to new opportunities",Once a year,20 to 99 employees,45.0,"Languages, frameworks, and other technologies I’d be working with;Financial performance or funding status of the company or organization;Opportunities for professional development",2-5y,3.0
626,Woman,25.0,United States,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",Not stated,15,,Student,,Not stated,"I’m not actively looking, but I am open to new opportunities",Once every few years,Not stated,,"Flex time or a flexible schedule;Languages, frameworks, and other technologies I’d be working with;How widely used or impactful my work output would be",,
627,Man,35.0,Canada,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)","Developer, back-end;Developer, front-end;Developer, full-stack",10,10.0,Employed full-time,30253.0,Neither satisfied nor dissatisfied,I am actively looking for a job,Once a year,Not stated,35.0,Office environment or company culture;Opportunities for professional development;Family friendliness,5-10y,2.0
628,Man,38.0,United States,Some college/university study without earning a degree,"Developer, full-stack",1,1.0,Employed full-time,74000.0,Very satisfied,"I’m not actively looking, but I am open to new opportunities",Every few months,100 to 499 employees,40.0,"Flex time or a flexible schedule;Languages, frameworks, and other technologies I’d be working with;Opportunities for professional development",0-2y,4.0
629,Man,49.0,United States,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)","Academic researcher;Designer;Developer, desktop or enterprise applications;Developer, embedded applications or devices;Developer, front-end;Developer, game or graphics;Engineer, data;System administrator",36,21.0,Employed full-time,100300.0,Slightly dissatisfied,"I’m not actively looking, but I am open to new opportunities",Once a year,"5,000 to 9,999 employees",40.0,"Flex time or a flexible schedule;Languages, frameworks, and other technologies I’d be working with;Opportunities for professional development",20y+,1.0
630,Man,34.0,Brazil,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)","Developer, back-end;Developer, full-stack",15,10.0,Employed full-time,24744.0,Very dissatisfied,I am actively looking for a job,Once every few years,500 to 999 employees,44.0,Flex time or a flexible schedule;How widely used or impactful my work output would be;Office environment or company culture,5-10y,0.0
631,Man,21.0,India,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",Not stated,8,,Student,,Not stated,I am not interested in new job opportunities,Once a year,Not stated,,"Flex time or a flexible schedule;Languages, frameworks, and other technologies I’d be working with;Financial performance or funding status of the company or organization",,
632,Woman,37.0,United States,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)","Developer, front-end;Developer, QA or test",15,15.0,Employed full-time,72000.0,Slightly satisfied,I am not interested in new job opportunities,Every few months,100 to 499 employees,40.0,Flex time or a flexible schedule;Remote work options;Family friendliness,10-20y,3.0
633,Man,18.0,Poland,"Secondary school (e.g. American high school, German Realschule or Gymnasium, etc.)",Not stated,4,,Student,,Not stated,"I’m not actively looking, but I am open to new opportunities",Every few months,Not stated,,Flex time or a flexible schedule;Specific department or team I’d be working on;Financial performance or funding status of the company or organization,,
634,Man,25.0,Pakistan,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)","Academic researcher;Developer, desktop or enterprise applications",6,3.0,"Independent contractor, freelancer, or self-employed",192.0,Neither satisfied nor dissatisfied,"I’m not actively looking, but I am open to new opportunities",Once every few years,"Just me - I am a freelancer, sole proprietor, etc.",42.0,Flex time or a flexible schedule,2-5y,2.0
635,Man,35.0,Germany,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)","Developer, back-end",20,12.0,Employed full-time,51888.0,Neither satisfied nor dissatisfied,I am not interested in new job opportunities,Once every few years,500 to 999 employees,41.0,"Flex time or a flexible schedule;Languages, frameworks, and other technologies I’d be working with;Remote work options",10-20y,2.0
636,Man,28.0,United States,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)","Developer, embedded applications or devices",26,7.0,Employed full-time,98000.0,Very satisfied,I am not interested in new job opportunities,Once every few years,"10,000 or more employees",40.0,Industry that I’d be working in;Office environment or company culture;Opportunities for professional development,5-10y,4.0
637,Man,46.0,United States,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)","Data scientist or machine learning specialist;Developer, back-end;Engineer, data",28,23.0,Employed full-time,200000.0,Very satisfied,"I’m not actively looking, but I am open to new opportunities",Every few months,"5,000 to 9,999 employees",40.0,Flex time or a flexible schedule;Office environment or company culture;Opportunities for professional development,20y+,4.0
638,Man,56.0,United States,Some college/university study without earning a degree,Not stated,2,,"Not employed, and not looking for work",,Not stated,Not stated,Not stated,Not stated,,Not stated,,
639,Man,27.0,Brazil,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",Not stated,14,,Student,,Not stated,I am not interested in new job opportunities,Once a year,Not stated,,Flex time or a flexible schedule;Remote work options;Office environment or company culture,,
640,Man,25.0,United States,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)","Developer, desktop or enterprise applications;DevOps specialist",12,2.0,Employed full-time,64400.0,Very satisfied,"I’m not actively looking, but I am open to new opportunities",Once a year,2 to 9 employees,40.0,Flex time or a flexible schedule;How widely used or impactful my work output would be;Office environment or company culture,0-2y,4.0
641,Man,27.0,Haiti,Some college/university study without earning a degree,"Developer, front-end;Developer, mobile;Educator",5,2.0,Employed full-time,38364.0,Very satisfied,"I’m not actively looking, but I am open to new opportunities",Once a year,10 to 19 employees,60.0,"Languages, frameworks, and other technologies I’d be working with;How widely used or impactful my work output would be;Opportunities for professional development",0-2y,4.0
642,Man,71.0,United States,Not stated,"Designer;Developer, back-end;Developer, desktop or enterprise applications;Developer, embedded applications or devices;Developer, front-end;Developer, full-stack;Developer, game or graphics;Educator",51,51.0,"Independent contractor, freelancer, or self-employed",,Slightly satisfied,I am not interested in new job opportunities,Once a year,"Just me - I am a freelancer, sole proprietor, etc.",40.0,Flex time or a flexible schedule;Remote work options;How widely used or impactful my work output would be,20y+,3.0
643,Man,26.0,Ukraine,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)","Developer, back-end",10,4.0,Employed full-time,29364.0,Slightly satisfied,"I’m not actively looking, but I am open to new opportunities",Every few months,20 to 99 employees,40.0,"Flex time or a flexible schedule;Languages, frameworks, and other technologies I’d be working with;Office environment or company culture",2-5y,3.0
644,Man,53.0,Canada,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)","Data or business analyst;Database administrator;Developer, back-end;Developer, desktop or enterprise applications;Developer, full-stack",25,22.0,Employed full-time,75631.0,Slightly satisfied,"I’m not actively looking, but I am open to new opportunities",Once every few years,500 to 999 employees,36.0,Diversity of the company or organization;Office environment or company culture;Family friendliness,20y+,3.0
645,Man,43.0,Argentina,"Professional degree (JD, MD, etc.)","Data or business analyst;Developer, back-end;Developer, desktop or enterprise applications;Developer, front-end;Developer, full-stack",32,25.0,Employed full-time,35028.0,Slightly dissatisfied,"I’m not actively looking, but I am open to new opportunities",Once every few years,"10,000 or more employees",40.0,Flex time or a flexible schedule;Remote work options;How widely used or impactful my work output would be,20y+,1.0
647,Man,63.0,United States,"Associate degree (A.A., A.S., etc.)","Developer, back-end;Developer, desktop or enterprise applications;Developer, full-stack",44,30.0,Employed full-time,150000.0,Very satisfied,I am not interested in new job opportunities,Once every few years,"1,000 to 4,999 employees",40.0,Remote work options;How widely used or impactful my work output would be;Office environment or company culture,20y+,4.0
648,Man,32.0,France,"Other doctoral degree (Ph.D., Ed.D., etc.)","Database administrator;Developer, back-end;Developer, front-end;Developer, full-stack;Engineering manager;Senior executive/VP;System administrator",10,7.0,Employed full-time,,Very satisfied,I am not interested in new job opportunities,Once a year,2 to 9 employees,40.0,Industry that I’d be working in;How widely used or impactful my work output would be;Office environment or company culture,5-10y,4.0
649,Man,23.0,Turkey,Some college/university study without earning a degree,Not stated,3,,Student,,Not stated,"I’m not actively looking, but I am open to new opportunities",Every few months,Not stated,,"Flex time or a flexible schedule;Languages, frameworks, and other technologies I’d be working with;Opportunities for professional development",,
650,Man,30.0,Canada,Not stated,"Database administrator;Developer, full-stack",15,9.0,Employed full-time,37816.0,Very satisfied,I am not interested in new job opportunities,Once a year,"1,000 to 4,999 employees",35.0,"Flex time or a flexible schedule;Languages, frameworks, and other technologies I’d be working with;Office environment or company culture",5-10y,4.0
652,Man,25.0,Brazil,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)","Developer, mobile",10,2.0,Employed full-time,15120.0,Neither satisfied nor dissatisfied,"I’m not actively looking, but I am open to new opportunities",Once a year,100 to 499 employees,40.0,"Languages, frameworks, and other technologies I’d be working with;Office environment or company culture;Opportunities for professional development",0-2y,2.0
653,Man,36.0,Canada,"Other doctoral degree (Ph.D., Ed.D., etc.)",Data scientist or machine learning specialist;Product manager,13,13.0,Employed full-time,151263.0,Slightly dissatisfied,"I’m not actively looking, but I am open to new opportunities",Once every few years,100 to 499 employees,40.0,Industry that I’d be working in;Specific department or team I’d be working on;How widely used or impactful my work output would be,10-20y,1.0
654,Man,22.0,United States,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)","Designer;Developer, back-end;Developer, desktop or enterprise applications;Developer, game or graphics",8,0.0,"Independent contractor, freelancer, or self-employed",16250.0,Slightly dissatisfied,I am actively looking for a job,Every few months,2 to 9 employees,20.0,Diversity of the company or organization;Office environment or company culture;Opportunities for professional development,0-2y,1.0
655,Man,,Israel,I never completed any formal education,"Developer, mobile",20,,"Not employed, but looking for work",,Not stated,I am actively looking for a job,Once a year,Not stated,,"Flex time or a flexible schedule;Languages, frameworks, and other technologies I’d be working with;Office environment or company culture",,
656,Man,30.0,Switzerland,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)","Developer, front-end",12,6.0,Employed part-time,76237.0,Very dissatisfied,I am actively looking for a job,Once every few years,100 to 499 employees,42.0,"Flex time or a flexible schedule;Languages, frameworks, and other technologies I’d be working with;Office environment or company culture",5-10y,0.0
657,Man,21.0,"Venezuela, Bolivarian Republic of...",Some college/university study without earning a degree,"Academic researcher;Designer;Developer, front-end",4,,"Not employed, but looking for work",,Not stated,I am actively looking for a job,Every few months,Not stated,,"Industry that I’d be working in;Languages, frameworks, and other technologies I’d be working with;Opportunities for professional development",,
658,Man,35.0,United States,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)","Developer, back-end",25,13.0,Employed full-time,150000.0,Very dissatisfied,I am actively looking for a job,Every few months,"1,000 to 4,999 employees",40.0,Remote work options;Office environment or company culture;Opportunities for professional development,10-20y,0.0
659,Man,,Canada,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)","Designer;Developer, back-end;Developer, desktop or enterprise applications;Developer, front-end;Developer, full-stack",9,,"Not employed, but looking for work",,Not stated,I am actively looking for a job,Every few months,Not stated,,"Languages, frameworks, and other technologies I’d be working with;Remote work options;Opportunities for professional development",,
660,Woman,32.0,Colombia,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)","Data or business analyst;Developer, back-end;Developer, desktop or enterprise applications;Developer, embedded applications or devices;Developer, QA or test",10,5.0,Employed full-time,,Very dissatisfied,"I’m not actively looking, but I am open to new opportunities",Once a year,500 to 999 employees,,Diversity of the company or organization;Remote work options;Opportunities for professional development,2-5y,0.0
661,Woman,32.0,United States,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)","Developer, back-end;Engineer, data",18,10.0,Employed full-time,185000.0,Slightly satisfied,I am not interested in new job opportunities,Once a year,20 to 99 employees,40.0,"Diversity of the company or organization;Languages, frameworks, and other technologies I’d be working with",5-10y,3.0
662,Man,22.0,Iran,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",Not stated,3,,Student,,Not stated,"I’m not actively looking, but I am open to new opportunities",Once a year,Not stated,,"Languages, frameworks, and other technologies I’d be working with;Specific department or team I’d be working on;Financial performance or funding status of the company or organization",,
663,Man,20.0,Canada,Some college/university study without earning a degree,"Academic researcher;Developer, desktop or enterprise applications",7,2.0,Employed full-time,,Very satisfied,I am actively looking for a job,Every few months,100 to 499 employees,40.0,"Industry that I’d be working in;Languages, frameworks, and other technologies I’d be working with;How widely used or impactful my work output would be",0-2y,4.0
664,Man,24.0,United States,Not stated,"Developer, desktop or enterprise applications;Developer, embedded applications or devices",2,2.0,Employed part-time,,Very satisfied,I am not interested in new job opportunities,Not stated,2 to 9 employees,25.0,Flex time or a flexible schedule;Office environment or company culture;Family friendliness,0-2y,4.0
665,Woman,24.0,United States,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)","Developer, front-end",4,0.0,Employed full-time,2000000.0,Very satisfied,I am not interested in new job opportunities,Once a year,"1,000 to 4,999 employees",40.0,Diversity of the company or organization;Flex time or a flexible schedule;Opportunities for professional development,0-2y,4.0
666,Man,49.0,United States,Some college/university study without earning a degree,"Data or business analyst;Database administrator;Designer;Developer, full-stack;Developer, QA or test;DevOps specialist;Educator;Engineering manager;Product manager;System administrator",37,22.0,Employed full-time,156000.0,Neither satisfied nor dissatisfied,"I’m not actively looking, but I am open to new opportunities",Not stated,2 to 9 employees,40.0,"Flex time or a flexible schedule;Languages, frameworks, and other technologies I’d be working with;Opportunities for professional development",20y+,2.0
667,Man,,United States,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)","Developer, embedded applications or devices",9,1.0,Employed full-time,75000.0,Very satisfied,I am not interested in new job opportunities,Once a year,"10,000 or more employees",8.5,Flex time or a flexible schedule;Remote work options;Office environment or company culture,0-2y,4.0
668,Man,36.0,United Kingdom,I never completed any formal education,"Designer;Developer, game or graphics;Developer, mobile;Developer, QA or test",11,7.0,"Independent contractor, freelancer, or self-employed",23267.0,Very satisfied,"I’m not actively looking, but I am open to new opportunities",Once every few years,"Just me - I am a freelancer, sole proprietor, etc.",40.0,"Industry that I’d be working in;Languages, frameworks, and other technologies I’d be working with;Remote work options",5-10y,4.0
669,Man,33.0,United Kingdom,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)","Developer, desktop or enterprise applications;Developer, front-end;Developer, mobile",17,11.0,Employed full-time,81433.0,Slightly dissatisfied,"I’m not actively looking, but I am open to new opportunities",Once a year,"1,000 to 4,999 employees",37.0,"Flex time or a flexible schedule;Languages, frameworks, and other technologies I’d be working with;Remote work options",10-20y,1.0
670,Man,35.0,Germany,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)","Developer, back-end;Developer, front-end;Developer, full-stack;Developer, game or graphics",10,9.0,Employed full-time,73507.0,Very dissatisfied,"I’m not actively looking, but I am open to new opportunities",Once every few years,20 to 99 employees,40.0,"Languages, frameworks, and other technologies I’d be working with;Opportunities for professional development;Family friendliness",5-10y,0.0
671,Man,24.0,Sri Lanka,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)","Data or business analyst;Data scientist or machine learning specialist;Developer, back-end;Educator",3,,"Not employed, but looking for work",,Not stated,I am actively looking for a job,Every few months,Not stated,,"Flex time or a flexible schedule;Languages, frameworks, and other technologies I’d be working with;Remote work options",,
672,Woman,22.0,United States,"Associate degree (A.A., A.S., etc.)","Data or business analyst;Database administrator;Developer, back-end;Developer, full-stack;Developer, QA or test",6,,"Not employed, but looking for work",,Not stated,I am actively looking for a job,Every few months,Not stated,,"Flex time or a flexible schedule;Languages, frameworks, and other technologies I’d be working with;Opportunities for professional development",,
674,Man,57.0,United States,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)","Data or business analyst;Database administrator;Designer;Engineer, data;System administrator",39,35.0,Employed full-time,,Very dissatisfied,I am not interested in new job opportunities,Not stated,20 to 99 employees,40.0,Not stated,20y+,0.0
675,Woman,31.0,United States,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",Data scientist or machine learning specialist;Product manager,10,5.0,Employed full-time,110000.0,Slightly satisfied,"I’m not actively looking, but I am open to new opportunities",Every few months,20 to 99 employees,60.0,Diversity of the company or organization;Flex time or a flexible schedule;Office environment or company culture,2-5y,3.0
676,Man,29.0,United States,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)","Developer, full-stack",12,9.0,Employed full-time,107000.0,Slightly satisfied,I am not interested in new job opportunities,Once every few years,"1,000 to 4,999 employees",40.0,"Languages, frameworks, and other technologies I’d be working with;Remote work options;Office environment or company culture",5-10y,3.0
677,Man,31.0,United States,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)","Developer, mobile;Engineering manager",9,7.0,Employed full-time,150000.0,Slightly satisfied,"I’m not actively looking, but I am open to new opportunities",Once a year,100 to 499 employees,40.0,Flex time or a flexible schedule;Remote work options;Office environment or company culture,5-10y,3.0
678,Man,24.0,United States,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)","Database administrator;Developer, back-end;Developer, full-stack;DevOps specialist;System administrator",13,4.0,Employed full-time,90000.0,Slightly dissatisfied,I am actively looking for a job,Once a year,"1,000 to 4,999 employees",40.0,"Flex time or a flexible schedule;Languages, frameworks, and other technologies I’d be working with;Financial performance or funding status of the company or organization",2-5y,1.0
679,Man,32.0,United States,"Professional degree (JD, MD, etc.)",Scientist,3,,Employed full-time,45000.0,Slightly satisfied,"I’m not actively looking, but I am open to new opportunities",Once a decade,Not stated,35.0,Flex time or a flexible schedule;Remote work options;Family friendliness,,3.0
680,Man,48.0,United States,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",Engineering manager,34,24.0,Employed full-time,,Not stated,Not stated,Once every few years,Not stated,,Not stated,20y+,
681,Man,56.0,United States,"Other doctoral degree (Ph.D., Ed.D., etc.)","Data or business analyst;Database administrator;Designer;Developer, back-end;Developer, desktop or enterprise applications;Developer, front-end;Developer, full-stack;Product manager;System administrator",35,30.0,Employed full-time,175000.0,Very satisfied,I am not interested in new job opportunities,Once every few years,10 to 19 employees,,Flex time or a flexible schedule;Financial performance or funding status of the company or organization;Office environment or company culture,20y+,4.0
682,Man,28.0,Sweden,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)","Data scientist or machine learning specialist;Developer, full-stack;Engineer, data;System administrator",10,2.0,Employed full-time,38456.0,Slightly dissatisfied,I am actively looking for a job,Every few months,2 to 9 employees,45.0,"Industry that I’d be working in;Diversity of the company or organization;Languages, frameworks, and other technologies I’d be working with",0-2y,1.0
683,Man,,United States,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",Not stated,15,,Student,,Not stated,I am not interested in new job opportunities,Once a year,Not stated,,Not stated,,
684,Man,33.0,Lithuania,Some college/university study without earning a degree,"Database administrator;Developer, back-end;Developer, desktop or enterprise applications;Developer, front-end;Developer, full-stack;Developer, game or graphics;DevOps specialist;Educator;System administrator",20,12.0,Employed full-time,51888.0,Very satisfied,I am not interested in new job opportunities,Every few months,20 to 99 employees,44.0,"Flex time or a flexible schedule;Languages, frameworks, and other technologies I’d be working with;Remote work options",10-20y,4.0
685,Man,31.0,United Kingdom,"Other doctoral degree (Ph.D., Ed.D., etc.)","Data scientist or machine learning specialist;Engineer, data;Scientist",20,17.0,Employed full-time,958584.0,Slightly dissatisfied,I am not interested in new job opportunities,Every few months,100 to 499 employees,40.0,Industry that I’d be working in;Flex time or a flexible schedule;Office environment or company culture,10-20y,1.0
686,Man,,United States,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)","Developer, back-end;Developer, front-end;Developer, full-stack;Product manager",25,10.0,Employed full-time,140000.0,Very satisfied,I am not interested in new job opportunities,Once every few years,100 to 499 employees,45.0,"Flex time or a flexible schedule;Languages, frameworks, and other technologies I’d be working with;How widely used or impactful my work output would be",5-10y,4.0
687,Man,24.0,United States,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)","Developer, embedded applications or devices;Developer, front-end;Developer, full-stack;DevOps specialist;Engineer, data",6,3.0,Employed full-time,60000.0,Slightly satisfied,"I’m not actively looking, but I am open to new opportunities",Once a year,2 to 9 employees,40.0,Flex time or a flexible schedule;Office environment or company culture;Opportunities for professional development,2-5y,3.0
688,Man,21.0,United States,"Secondary school (e.g. American high school, German Realschule or Gymnasium, etc.)","Data or business analyst;Data scientist or machine learning specialist;Database administrator;Developer, back-end;Developer, front-end;DevOps specialist;Engineer, data;System administrator",1,1.0,Employed full-time,50000.0,Slightly dissatisfied,I am actively looking for a job,Every few months,20 to 99 employees,45.0,"Languages, frameworks, and other technologies I’d be working with;Opportunities for professional development;Family friendliness",0-2y,1.0
689,Man,33.0,United States,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",Educator,4,2.0,"Independent contractor, freelancer, or self-employed",45000.0,Very satisfied,"I’m not actively looking, but I am open to new opportunities",Every few months,10 to 19 employees,30.0,"Industry that I’d be working in;Languages, frameworks, and other technologies I’d be working with;Remote work options",0-2y,4.0
690,Man,27.0,United States,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",Not stated,10,,Student,,Not stated,I am actively looking for a job,Once a year,Not stated,,Flex time or a flexible schedule;Financial performance or funding status of the company or organization;How widely used or impactful my work output would be,,
691,Man,25.0,Germany,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)","Developer, back-end;Developer, front-end;Developer, full-stack;Engineer, data;Engineering manager;Scientist",9,5.0,Employed full-time,,Slightly satisfied,"I’m not actively looking, but I am open to new opportunities",Once a year,"10,000 or more employees",,Not stated,2-5y,3.0
692,Man,54.0,United States,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",Data scientist or machine learning specialist,30,20.0,Employed full-time,150000.0,Slightly dissatisfied,I am not interested in new job opportunities,Every few months,20 to 99 employees,40.0,Flex time or a flexible schedule;Opportunities for professional development;Family friendliness,10-20y,1.0
693,Man,,Poland,Primary/elementary school,Not stated,2,,Student,,Not stated,I am not interested in new job opportunities,Once a year,Not stated,,Flex time or a flexible schedule;Financial performance or funding status of the company or organization;Family friendliness,,
694,Man,41.0,United States,"Other doctoral degree (Ph.D., Ed.D., etc.)","Developer, back-end",22,12.0,Employed full-time,166500.0,Slightly dissatisfied,I am not interested in new job opportunities,Once a year,100 to 499 employees,40.0,"Languages, frameworks, and other technologies I’d be working with;Office environment or company culture;Opportunities for professional development",10-20y,1.0
695,Man,49.0,United States,"Other doctoral degree (Ph.D., Ed.D., etc.)",Academic researcher;Educator;Scientist,20,20.0,Employed full-time,112000.0,Slightly satisfied,"I’m not actively looking, but I am open to new opportunities",Not stated,"1,000 to 4,999 employees",50.0,Remote work options;How widely used or impactful my work output would be;Office environment or company culture,10-20y,3.0
696,Man,30.0,El Salvador,"Professional degree (JD, MD, etc.)","Academic researcher;Data or business analyst;Database administrator;Designer;Developer, back-end;Developer, desktop or enterprise applications;Developer, front-end;Developer, mobile;Educator",12,9.0,Employed full-time,6000.0,Slightly satisfied,"I’m not actively looking, but I am open to new opportunities",Once a year,20 to 99 employees,44.0,Remote work options;Financial performance or funding status of the company or organization;Opportunities for professional development,5-10y,3.0
697,Man,28.0,France,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)","Developer, back-end;Developer, front-end;Developer, full-stack;Product manager",12,5.0,Employed full-time,70264.0,Slightly satisfied,"I’m not actively looking, but I am open to new opportunities",Once a year,20 to 99 employees,43.0,"Languages, frameworks, and other technologies I’d be working with;How widely used or impactful my work output would be;Opportunities for professional development",2-5y,3.0
698,Man,,India,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)","Designer;Developer, back-end",6,2.0,Employed full-time,39093.0,Very satisfied,"I’m not actively looking, but I am open to new opportunities",Every few months,100 to 499 employees,30.0,"Languages, frameworks, and other technologies I’d be working with;How widely used or impactful my work output would be;Office environment or company culture",0-2y,4.0
699,Man,39.0,United States,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",System administrator,5,2.0,"Independent contractor, freelancer, or self-employed",2000000.0,Slightly satisfied,I am actively looking for a job,Once a year,100 to 499 employees,40.0,Diversity of the company or organization;Office environment or company culture;Opportunities for professional development,0-2y,3.0
700,Man,27.0,United States,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)","Developer, full-stack;Developer, mobile",10,4.0,Employed full-time,90000.0,Slightly satisfied,I am actively looking for a job,Once every few years,2 to 9 employees,40.0,Remote work options;Office environment or company culture;Opportunities for professional development,2-5y,3.0
701,Man,37.0,Germany,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)","Developer, back-end;Developer, desktop or enterprise applications;Developer, QA or test",26,7.0,Employed full-time,46915.0,Very satisfied,I am not interested in new job opportunities,Once every few years,10 to 19 employees,40.0,Flex time or a flexible schedule;Office environment or company culture;Opportunities for professional development,5-10y,4.0
